student_id,name,grade,interests,strengths,weaknesses,learning_style,onboarding_completed
e750d9e1-621f-4d30-84e5-2763b84562ff,Reyansh,10,Mathematics|Art & Design,Biology|Psychology,Music,visual,True
e33a1fe5-74aa-45cc-a658-26d9aba6f0d9,Mira,9,Mathematics|Psychology|Physics|Biology|Art & Design,Economics|Mathematics|Geography,Psychology,kinesthetic,True
afc54a15-b616-433f-a145-02b88f8c0572,Rudra,3,Economics|Computer Science|Music|Mathematics|Chemistry,Hindi|English|Computer Science,Biology,reading,True
4a5045e7-93d7-44f3-bfba-97a270d5d5a7,Om,1,Hindi|Physics,Environmental Science|English,Psychology|Mathematics,kinesthetic,True
7de6794e-8e25-41db-a666-51bfe8564fd2,Kiara,8,Psychology|Hindi,Geography,Psychology|Art & Design,reading,True
adef7d73-e4e9-42a1-a225-563a53699721,Reyansh,9,Art & Design|Physics|Mathematics,Biology|Music|Computer Science,English,kinesthetic,True
5f2bd4f6-0191-4450-8a79-8233e5942353,Mira,4,Political Science|Environmental Science|English|Chemistry|Music,Biology|Political Science,Environmental Science|Music,visual,True
80549e4c-b747-43fe-be0f-41a017d73e1a,Jai,9,Geography|Art & Design|Biology,History,Computer Science|Art & Design,auditory,True
3f546215-cdef-4a88-9809-78c20bc40221,Rohan,10,Environmental Science|Music|Psychology|Mathematics,Environmental Science,Music,kinesthetic,True
f1cfab24-aebb-4398-a129-67906ff5ba8f,Dev,4,Biology|Economics,English|Biology|Political Science,Geography|Environmental Science,auditory,True
1d87b3b4-39c4-45a5-89dd-cc2e260a2757,Meera,4,Biology|Art & Design|Geography,Computer Science|Art & Design|Economics,Music|History,auditory,True
16ec75a6-78de-4456-9a4b-d543ae17656e,Priya,2,Physics|Music|Mathematics|Psychology|Chemistry,Chemistry|Music|Political Science,Art & Design|Physics,kinesthetic,True
165ef2ac-a644-4486-af9d-2e1665514ce3,Ayaan,9,Geography|Computer Science|Psychology|Mathematics|Political Science,Physics|Political Science|Geography,Environmental Science|Hindi,reading,True
8672ef08-6fb1-4d11-8f5a-89d97828f2d8,Reyansh,6,History|Mathematics|Art & Design,Computer Science|Geography|Music,Political Science,reading,True
9030c96f-152b-4455-8a6f-57d131b1e4ce,Rohan,10,Chemistry|English|Music,Geography,Political Science,kinesthetic,True
012e91d4-af2a-4f56-b14c-8c9155af2183,Sai,K,Psychology|English,Biology|Mathematics,Art & Design,visual,True
d6bb53d1-6b9d-4f1b-af98-b8d666b1293c,Pari,11,Environmental Science|Physics|Music|Geography|Chemistry,Political Science,Geography|Chemistry,kinesthetic,True
71c1f904-f580-49ed-8fde-374cf4079f75,Aadhya,3,Art & Design|Computer Science|Hindi,Political Science|English|History,Physics|Biology,visual,True
e9e124a1-0a4f-417f-87f8-63f5d102b603,Arjun,5,Economics|Geography,Economics,Mathematics,visual,True
ef509374-9ca9-40ee-bcbf-84a7a7c8c833,Yash,3,Psychology|Mathematics,Physics|Geography,English,kinesthetic,True
5f714c29-6809-4780-87a1-93715d82c1c6,Saanvi,3,Art & Design|Economics|Environmental Science,Biology|Music,Psychology|History,visual,True
41efd84b-441f-4584-93b5-3d204471583f,Om,1,English|Hindi|Environmental Science|History|Mathematics,Political Science|Psychology|Physics,History,reading,True
